Layer,Group,Category,Subcategory,Term,Subterm,,,,,,,,,,,,
,,,,Design Collection; Design Collections; Museum Collection,—,,,,,,,,,,,,
,,,,Design Archive; Design Archives; Corporate Design Archive,—,,,,,,,,,,,,
,,,Influencers & Public Engagement,Design Visibility; Visibility in Design,—,,,,,,,,,,,,
,,,,Design Showcase,—,,,,,,,,,,,,
,,,,Design Museum,—,,,,,,,,,,,,
,,,,Design Curation,—,,,,,,,,,,,,
,,,,Design Exhibition,—,,,,,,,,,,,,
,,,,Design Media,—,,,,,,,,,,,,
,,,,Design Publication,—,,,,,,,,,,,,
,,,,Design Outreach,—,,,,,,,,,,,,
,,,,Design Curator,—,,,,,,,,,,,,
,,,,Design Communicator,—,,,,,,,,,,,,
,,,,Design Evangelist,—,,,,,,,,,,,,
,,,,Design Influencer,—,,,,,,,,,,,,
,,,,Design Ambassador,—,,,,,,,,,,,,
,,,,Design Publicist; Design Media Personality,—,,,,,,,,,,,,
,,,,Design Advocate; Design Advocacy,—,,,,,,,,,,,,
,,,,Design Visionary,—,,,,,,,,,,,,
,,,,Design Leader; Design Thought Leader,—,,,,,,,,,,,,
,,,,Design Expert,—,,,,,,,,,,,,
,,,Consultants & Advisors,Design Consultant,—,,,,,,,,,,,,
,,,,Design Management Consultant,—,,,,,,,,,,,,
,,,,Design Innovation Consultant; Innovation Consultant,—,,,,,,,,,,,,
,,,,Design Research Consultant,—,,,,,,,,,,,,
,,,,Design Consultancy; Design Consulting,—,,,,,,,,,,,,
,,,,Design Advisor; Design Policy Advisor,—,,,,,,,,,,,,
,,,,Design Strategist,—,,,,,,,,,,,,
,,,Critics & Evaluators,Design Critic,—,,,,,,,,,,,,
,,,,Design Theorist-Critic,—,,,,,,,,,,,,
,,,,Critical Design Practitioner,—,,,,,,,,,,,,
,,,,Design Criticism,—,,,,,,,,,,,,
,,,,Design Reviewer; Design Judge; Design Evaluator,—,,,,,,,,,,,,
,,,,Design Critique; Design Review,—,,,,,,,,,,,,
,,,,Design Commentator,—,,,,,,,,,,,,
,,,Researchers & Theorists,Design Researcher,—,,,,,,,,,,,,
,,,,Design Research Practitioner; Practitioner-Researcher,—,,,,,,,,,,,,
,,,,Design Theorist,—,,,,,,,,,,,,
,,,,Design Methodologist,—,,,,,,,,,,,,
,,,,Design Philosopher,—,,,,,,,,,,,,
,,,,Design Ethicist,—,,,,,,,,,,,,
,,,,Design Historian,—,,,,,,,,,,,,
,,,,Design Futurist,—,,,,,,,,,,,,
,,,,Design Scientist,—,,,,,,,,,,,,
,,,,Design Epistemologist,—,,,,,,,,,,,,
,,,,Design Sociologist; Design Anthropologist,—,,,,,,,,,,,,
,,,Educators & Trainers,Design Educator,—,,,,,,,,,,,,
,,,,Design Pedagogue,—,,,,,,,,,,,,
,,,,Design Educator-Researcher,—,,,,,,,,,,,,
,,,,Design Educator-Practitioner; Practitioner-Educator,—,,,,,,,,,,,,
,,,,Design Curriculum Developer,—,,,,,,,,,,,,
,,,,Learning Experience Designer,—,,,,,,,,,,,,
,,,,Design Education Consultant,—,,,,,,,,,,,,
,,,,Design Facilitator,—,,,,,,,,,,,,
,,,,Design Trainer,—,,,,,,,,,,,,
,,,,Design Mentor,—,,,,,,,,,,,,
,,,,Design Instructor,—,,,,,,,,,,,,
,,,,Design Coach,—,,,,,,,,,,,,
,,,Non-Professional Design,Non-Professional Design,—,,,,,,,,,,,,
,,,,Amateur Design,—,,,,,,,,,,,,
,,,,Hobbyist Design,—,,,,,,,,,,,,
,,,,Dilettante Design,—,,,,,,,,,,,,
,,,,Non-Professional Designer; Lay Designer; Amateur Designer,—,,,,,,,,,,,,
,,Design Law & Policy,Design Compliance & Governance,Design for Compliance; Compliance Design; Compliance Engineering,—,,,,,,,,,,,,
,,,,Design Policy,—,,,,,,,,,,,,
,,,Law & Intellectual Property,Design Law,—,,,,,,,,,,,,
,,,,Design Rights; Design Protection,—,,,,,,,,,,,,
,,,,Intellectual Property in Design,—,,,,,,,,,,,,
,,,,Design Patent; Industrial Design Patent; Utility Patent,—,,,,,,,,,,,,
,,,,Patented Design; Registered Design,—,,,,,,,,,,,,
,,,,Copyrighted Design; Copyright Law for Design,—,,,,,,,,,,,,
,,,,Design Licensing; Licensed Design,—,,,,,,,,,,,,
,,,,Design Assignment,—,,,,,,,,,,,,
,,,,Design Dispute; Design Litigation,—,,,,,,,,,,,,
,,,,Design Infringement,—,,,,,,,,,,,,
,,,Originality & Anti-Counterfeiting,Original Design; Design Originality,—,,,,,,,,,,,,
,,,,Invention Design,—,,,,,,,,,,,,
,,,,Anti-Copying Design,—,,,,,,,,,,,,
,,,,Anti-Counterfeit Design; Counterfeit-Proof Design,—,,,,,,,,,,,,
,,,,Anti-Piracy Design,—,,,,,,,,,,,,
,,,,Brand Protection Design,—,,,,,,,,,,,,
,,,,Imitative Design,—,,,,,,,,,,,,
,,,,Patent-Inspired Design,—,,,,,,,,,,,,
,,,,Derivative Design; Design Derivatives,—,,,,,,,,,,,,
,,,,Design Plagiarism,—,,,,,,,,,,,,
,,,Authorship,Authorial Design,—,,,,,,,,,,,,
,,,,Design Authorship,—,,,,,,,,,,,,
,,,,Signature Design,—,,,,,,,,,,,,
,,,,Autographic Design; Autographic Method in Design,—,,,,,,,,,,,,
,,,,De-Authored Design; Non-Authorial Design; Anonymous Design,—,,,,,,,,,,,,
,,,,Collective Authorship in Design; Post-authorial Design,—,,,,,,,,,,,,
,Group 3,Design Axiology & Values,Design Considerations & Factors,Design Factors,—,,,,,,,,,,,,
,,,,Design Considerations,—,,,,,,,,,,,,
,,,,Design Priorities,—,,,,,,,,,,,,
,,,Design Values & Orientations,Design Philosophy; Philosophy of Design,—,,,,,,,,,,,,
,,,,Design Values,—,,,,,,,,,,,,
,,,,Design Spirit; Design Ethos,—,,,,,,,,,,,,
,,,,Design Orientation; Design Paradigm; Design Stance,—,,,,,,,,,,,,
,,,,Design Mindset; Design Attitudes,—,,,,,,,,,,,,
,,,,Design Ideology; Design Creed,—,,,,,,,,,,,,
,,,Design Principles & Norms,Design Principles,—,,,,,,,,,,,,
,,,,Design Guidelines; Design Rules,—,,,,,,,,,,,,
,,,,Design Norms; Design Codes,—,,,,,,,,,,,,
,,,,Design Standards,—,,,,,,,,,,,,
,,,Design Meaning & Roles,Meaning of Design,—,,,,,,,,,,,,
,,,,Value of Design; Design Value,—,,,,,,,,,,,,
,,,,Design Impact; Design Influence,—,,,,,,,,,,,,
,,,,Position of Design; Design Positioning,—,,,,,,,,,,,,
,,,,Function of Design; Design Function,—,,,,,,,,,,,,
,,,,Role of Design,—,,,,,,,,,,,,
,,,,Role of Designers,—,,,,,,,,,,,,
,,,Design Axiology,Design Axiology; Value Theory in Design; Design Value Theory,—,,,,,,,,,,,,
,,,,Design Evaluation Theory; Design Valuation Framework,—,,,,,,,,,,,,
,,Design Methodology & Praxeology,Design Methodology,Design Methodology,—,,,,,,,,,,,,
,,,,Design Methodology Research; Research on Design Methodology,—,,,,,,,,,,,,
,,,,Empirical Design Methodology,—,,,,,,,,,,,,
,,,,Normative Design Methodology,—,,,,,,,,,,,,
,,,,Meta-Design Methodology,—,,,,,,,,,,,,
,,,Design Praxeology,Design Praxeology,—,,,,,,,,,,,,
,,,,Design Praxis,—,,,,,,,,,,,,
,,,,Theory of Design Action,—,,,,,,,,,,,,
,,,,Design Activity Theory,—,,,,,,,,,,,,
,,,,Design Ethnomethodology,—,,,,,,,,,,,,
,,,,Design Practice Theory,—,,,,,,,,,,,,
,Group 4,Design Resources & Conditions,Design Methods & Tools,Design Methods; Design Techniques,—,,,,,,,,,,,,
,,,,Design Tools; Design Toolkits,—,,,,,,,,,,,,
,,,Design Materials,Design Material; Material; Design Matter,—,,,,,,,,,,,,
,,,,Material Systems; Material Assemblies,—,,,,,,,,,,,,
,,,Design Environment,Design Environment,—,,,,,,,,,,,,
,,,,Design Setting,—,,,,,,,,,,,,
,,,,Design Habitat,—,,,,,,,,,,,,
,,Design Process & Phases,Design Process,Design Process,—,,,,,,,,,,,,
,,,,Design Workflow; Design Flow,—,,,,,,,,,,,,
,,,,Design Lifecycle; Design Process Lifecycle,—,,,,,,,,,,,,
,,,Specific Design Phases,Front-End Design,—,,,,,,,,,,,,
,,,,Early-Stage Design,—,,,,,,,,,,,,
,,,,Conceptual Design; Concept Design,—,,,,,,,,,,,,
,,,,Preliminary Design,—,,,,,,,,,,,,
,,,,Logical Design; System-Level Design; Architecture Design,—,,,,,,,,,,,,
,,,,Embodiment Design,—,,,,,,,,,,,,
,,,,Back-End Design,—,,,,,,,,,,,,
,,,,Detailed Design,—,,,,,,,,,,,,
,,,,Implementation Design,—,,,,,,,,,,,,
,,,,Operational Design,—,,,,,,,,,,,,
,,,Design Situation & Context,Design Situation,—,,,,,,,,,,,,
,,,,Design Context,—,,,,,,,,,,,,
,,,,Design Background,—,,,,,,,,,,,,
,,,,Design Scenario,—,,,,,,,,,,,,
,,,,Design Scope,—,,,,,,,,,,,,
,,,Design Intent & Drivers,Design Driver,—,,,,,,,,,,,,
,,,,Design Opportunity; Design Problem; Design Insight,—,,,,,,,,,,,,
,,,,Design Motivation; Design Intention,—,,,,,,,,,,,,
,,,,Design Intent; Design Purpose,—,,,,,,,,,,,,
,,,,Design Objective; Design Goal,—,,,,,,,,,,,,
,,,,Design Requirement,—,,,,,,,,,,,,
,,,,Design Vision; Design Ideal,—,,,,,,,,,,,,
,,,,Problem-Driven Design,—,,,,,,,,,,,,
,,,,Challenge-Based Design,—,,,,,,,,,,,,
,,,,Strategy-Led Design,—,,,,,,,,,,,,
,,,,Intentional Design,—,,,,,,,,,,,,
,,,,Purpose-Driven Design,—,,,,,,,,,,,,
,,,,Fit-for-Purpose Design,—,,,,,,,,,,,,
,,,,Goal-Oriented Design,—,,,,,,,,,,,,
,,,,Solution-Focused Design; Solution-Centred Design; Solution-Driven Design; Solution-Oriented Design,—,,,,,,,,,,,,
,,,,Outcome-Driven Design,—,,,,,,,,,,,,
,,,,Performance-Driven Design,—,,,,,,,,,,,,
,,,,KPI-Oriented Design,—,,,,,,,,,,,,
,,,,Requirement-Driven Design,—,,,,,,,,,,,,
,,,,Mission-Oriented Design,—,,,,,,,,,,,,
,,,,Impact-Driven Design,—,,,,,,,,,,,,
,,,,Vision-Driven Design,—,,,,,,,,,,,,
,,,Design Rationale,Design Argumentation,—,,,,,,,,,,,,
,,,,Argument-Based Design,—,,,,,,,,,,,,
,,,,Issue-Based Design,—,,,,,,,,,,,,
,,,,Design Rationale,—,,,,,,,,,,,,
,,,,Design Justifications,—,,,,,,,,,,,,
,,,,Design Evidence,—,,,,,,,,,,,,
,,,,Design Decision,—,,,,,,,,,,,,
,,Design Outputs,Design Artifacts & Deliverables,Design as Product; Design-as-Product,—,,,,,,,,,,,,
,,,,Design as Artifact; Design-as-Artifact,—,,,,,,,,,,,,
,,,,Design Artifacts; Designed Artifacts,—,,,,,,,,,,,,
,,,,Design Output,—,,,,,,,,,,,,
